station_m	X_ref_m	Y_ref_m	psi_ref_rad	curvature_1pm	local_speed_limit_mps	vx_ref_mps	yaw_rate_ref_radps
100	99.7823232352447	3.5	0	0	15	15	0
100.25	100.032323235245	3.5	0	0	15	15	0
100.5	100.282323235245	3.5	0	0	15	15	0
100.75	100.532323235245	3.5	0	0	15	15	0
101	100.782323235245	3.5	0	0	15	15	0
101.25	101.032323235245	3.5	0	0	15	15	0
101.5	101.282323235245	3.5	0	0	15	15	0
101.75	101.532323235245	3.5	0	0	15	15	0
102	101.782323235245	3.5	0	0	15	15	0
102.25	102.032323235245	3.5	0	0	15	15	0
102.5	102.282323235245	3.5	0	0	15	15	0
102.75	102.532323235245	3.5	0	0	15	15	0
103	102.782323235245	3.5	0	0	15	15	0
103.25	103.032323235245	3.5	0	0	15	15	0
103.5	103.282323235245	3.5	0	0	15	15	0
103.75	103.532323235245	3.5	0	0	15	15	0
104	103.782323235245	3.5	0	0	15	15	0
104.25	104.032323235245	3.5	0	0	15	15	0
104.5	104.282323235245	3.5	0	0	15	15	0
104.75	104.532323235245	3.5	0	-7.11946004372521e-08	15	15	-1.06791900655878e-06
105	104.782323235245	3.5	-3.5597300218626e-08	-4.86998432768651e-05	15	15	-0.000730497649152977
105.25	105.032323235245	3.49999998220135	-2.43499216384326e-05	-0.00032327002826525	15	15	-0.00484905042397875
105.5	105.282323234775	3.49998782503919	-0.000161670611432844	-0.000919493622356161	15	15	-0.0137924043353424
105.75	105.532323224254	3.49991914689671	-0.000484096732816513	-0.00166759004011921	15	15	-0.0250138506017881
106	105.782323161421	3.49974577668938	-0.000995465631492448	-0.00240848648191688	15	15	-0.0361272972287532
106.25	106.032322946023	3.49942141419352	-0.00168833997377495	-0.00311981954065228	15	15	-0.0467972931097842
106.5	106.282322397841	3.49890160718958	-0.00255537540181859	-0.0038019625997469	15	15	-0.0570294389962035
